;;;5. EMPLOYMENT: Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C.;S.;C. & S.;Basic data and indicators;;;;;Units;Notes;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;0;384-0;COTE D´IVOIRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1/ Data obtained from ratios calculated on the basis of a census carried out by the Ministry of Tourism in 2015.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.1;384-5.1;;;Total;;;Thousands;1/;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;113,0;121,1;121,1;128,8;132,7;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.2;384-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;47,7;50,6;50,6;53,6;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.3;384-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.4;384-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;60,8;64,4;64,4;67,6;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.5;384-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.6;384-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2,4;4,5;5,7;5,7;7,2;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;5.7;384-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,4;0,4;0,4;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;0;191-0;CROATIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1/ The classification used is NACE Rev. 2.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.1;191-5.1;;;Total;;;Thousands;1/;..;..;..;..;..;..;..;..;..;..;..;49,5;52,8;55,5;51,7;51,4;52,7;54,9;55,9;62,5;61,3;73,4;79,5;86,6;91,6;78,5;80,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.2;191-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;29,3;30,6;31,7;30,1;29,6;30,3;31,0;30,9;32,2;31,5;35,7;38,8;41,8;44,3;35,1;36,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.3;191-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.4;191-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;15,7;17,2;18,6;16,4;16,7;17,2;18,5;19,8;24,5;23,9;32,2;35,1;38,7;41,0;38,2;39,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.5;191-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.6;191-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;4,5;5,0;5,2;5,2;5,1;5,2;5,4;5,2;5,8;5,9;5,5;5,6;6,1;6,3;5,2;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;5.7;191-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;0;192-0;CUBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.1;192-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.2;192-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.3;192-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.4;192-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.5;192-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.6;192-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;5.7;192-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;0;535-0;CURAÇAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.1;535-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.2;535-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.3;535-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.4;535-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.5;535-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.6;535-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;5.7;535-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;0;196-0;CYPRUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1/ Data extracted from the Hotels and Restaurants Statistics which result from the Services Survey conducted by the Statistical Service of Cyprus. Data reported concerns tourist enterprises which fall under the NACE Rev.2 codes 55101 and 55102.
2/ Data extracted from the Hotels and Restaurants Statistics which result from the Services Survey conducted by the Statistical Service of Cyprus. It refers to NACE Rev. 2 codes 5520+, 5530+ and 5590).
3/ Data extracted from the Hotels and Restaurants Statistics which result from the Services Survey conducted by the Statistical Service of Cyprus. It refers to NACE Rev. 2 code 56.
4/ Data extracted from the Statistics on Business Services which result from the Services Survey conducted by the Statistical Service of Cyprus. It refers to NACE Rev. 2 code 79.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.1;196-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;45,2;46,5;48,4;49,1;50,3;39,4;38,1;39,4;38,8;37,7;35,1;37,9;39,4;42,9;46,2;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.2;196-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;1/;..;..;..;..;..;..;..;..;14,2;13,8;13,7;13,9;14,2;16,5;15,0;16,1;16,8;16,8;16,3;17,0;17,1;18,5;19,9;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.3;196-5.3;;;;Other accommodation services;;Thousands;2/;..;..;..;..;..;..;..;..;..;..;..;..;..;0,5;0,5;0,5;0,5;0,5;0,4;0,5;0,5;0,6;0,6;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.4;196-5.4;;;;Food and beverage serving activities;;Thousands;3/;..;..;..;..;..;..;..;..;14,3;15,2;16,1;17,1;18,1;20,0;20,6;20,8;19,4;18,5;16,9;18,9;20,2;22,0;23,9;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.5;196-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;9,3;9,6;10,3;10,2;10,1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.6;196-5.6;;;;Travel agencies and other reservation services activities;;Thousands;4/;..;..;..;..;..;..;..;..;2,4;2,6;2,7;2,6;2,6;2,4;2,0;2,0;2,1;1,9;1,5;1,5;1,6;1,8;1,8;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;5.7;196-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;5,1;5,3;5,5;5,2;5,3;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;0;203-0;CZECH REPUBLIC (CZECHIA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.1;203-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;233,5;232,9;233,7;231,5;236,0;241,2;239,5;235,6;232,6;229,6;228,7;225,0;229,2;233,3;238,8;240,6;239,6;238,8;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.2;203-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;38,8;38,2;39,6;40,5;41,4;44,1;42,3;38,2;41,9;39,9;39,6;39,0;41,0;41,9;42,2;42,7;42,2;43,1;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.3;203-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.4;203-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;64,4;66,4;67,1;63,8;66,0;66,2;67,8;71,1;69,7;69,8;69,1;65,7;66,2;67,9;71,3;71,4;69,7;68,7;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.5;203-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;40,4;39,2;37,8;36,9;36,0;37,1;36,2;34,0;28,8;27,5;27,3;27,2;27,3;27,2;27,2;27,5;27,3;27,6;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.6;203-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;13,6;14,0;14,3;15,1;13,9;14,7;13,8;14,9;12,1;12,2;12,9;12,3;12,9;13,0;13,7;14,0;15,1;14,0;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;5.7;203-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;76,2;75,1;74,9;75,2;78,8;79,0;79,3;77,3;80,1;80,2;79,8;80,8;81,8;83,3;84,4;85,0;85,3;85,3;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;0;208-0;DENMARK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.1;208-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;162,8;168,5;152,9;145,7;147,7;151,0;158,5;158,9;171,9;180,0;188,0;193,1;197,4;201,2;167,6;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.2;208-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;17,9;18,8;15,7;14,1;14,1;14,0;14,5;14,7;16,1;16,7;16,9;17,5;17,7;18,3;13,1;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.3;208-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;7,7;8,4;7,6;6,6;6,6;6,1;6,1;6,1;7,0;7,1;7,4;7,6;8,0;8,0;6,5;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.4;208-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;82,6;87,0;79,1;76,5;77,5;83,5;88,7;91,4;100,3;106,8;113,7;117,8;120,4;123,5;105,4;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.5;208-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;48,1;47,1;44,6;43,3;44,3;42,2;43,9;41,4;43,0;43,8;44,0;44,1;45,1;45,1;38,6;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.6;208-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;6,6;7,1;5,9;5,2;5,2;5,2;5,3;5,3;5,6;5,6;5,9;6,2;6,1;6,3;4,0;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
208;5.7;208-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;0;262-0;DJIBOUTI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.1;262-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.2;262-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.3;262-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.4;262-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.5;262-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.6;262-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;5.7;262-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;0;212-0;DOMINICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.1;212-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.2;212-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.3;212-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.4;212-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.5;212-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.6;212-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;5.7;212-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;0;214-0;DOMINICAN REPUBLIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.1;214-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;172,1;188,3;190,3;195,5;196,2;195,4;194,8;201,2;216,5;219,9;254,2;315,1;323,5;336,5;358,4;141,7;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.2;214-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;49,2;53,8;54,4;55,9;56,1;55,8;55,7;57,5;61,8;62,2;71,7;88,7;90,1;94,7;100,7;40,0;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.3;214-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.4;214-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.5;214-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.6;214-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;5.7;214-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;122,9;134,5;135,9;139,6;140,1;139,6;139,1;143,7;154,7;157,7;182,5;226,4;233,4;241,8;257,6;101,7;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;0;218-0;ECUADOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1/ 2019: provisional data.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.1;218-5.1;;;Total;;;Thousands;1/;49,3;48,7;51,5;54,7;55,5;56,5;60,2;62,6;67,1;68,4;72,1;78,5;77,0;84,7;90,1;92,8;102,4;106,3;114,1;122,1;135,0;136,2;132,1;134,5;134,5;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.2;218-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;13,8;14,9;15,4;17,0;17,0;17,2;17,8;19,2;19,9;19,9;21,7;22,6;21,7;23,9;24,9;26,1;28,1;29,6;31,9;33,5;35,5;33,1;27,9;28,4;28,3;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.3;218-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.4;218-5.4;;;;Food and beverage serving activities;;Thousands;;26,9;25,7;26,9;27,7;27,5;27,5;29,7;30,1;33,5;34,8;37,2;41,7;43,0;49,0;53,9;54,6;61,6;65,1;69,8;75,6;85,4;88,2;88,6;89,8;88,9;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.5;218-5.5;;;;Passenger transportation;;Thousands;;2,1;1,8;..;..;..;..;..;..;..;..;..;..;2,7;2,8;2,5;2,8;2,7;2,7;3,0;2,9;3,0;3,2;3,0;3,2;3,3;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.6;218-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;4,1;3,6;4,1;4,5;5,0;5,4;6,2;6,7;6,7;6,7;5,5;5,9;5,8;6,3;6,2;6,4;7,6;7,8;8,2;8,7;9,5;8,7;8,4;9,0;9,7;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;5.7;218-5.7;;;;Other tourism industries;;Thousands;;2,4;2,7;5,0;5,5;6,0;6,4;6,5;6,5;7,0;6,9;7,7;8,3;3,9;2,7;2,7;2,9;2,4;1,1;1,2;1,4;1,6;3,0;4,2;4,1;4,3;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;0;818-0;EGYPT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Number of employees by tourism industries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.1;818-5.1;;;Total;;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1 644,1;1 655,0;1 706,7;1 698,8;1 752,0;1 993,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.2;818-5.2;;;;Accommodation services for visitors (hotels and similar establishments);;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;162,8;137,7;153,0;133,4;128,0;153,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.3;818-5.3;;;;Other accommodation services;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14,7;9,5;13,9;23,5;28,0;36,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.4;818-5.4;;;;Food and beverage serving activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;365,9;326,4;366,0;382,4;408,0;488,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.5;818-5.5;;;;Passenger transportation;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;928,4;1 017,6;1 028,8;1 022,7;1 069,0;1 180,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.6;818-5.6;;;;Travel agencies and other reservation services activities;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;88,4;84,4;70,1;58,2;48,0;63,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
818;5.7;818-5.7;;;;Other tourism industries;;Thousands;;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;83,9;79,4;74,9;78,6;71,0;73,0;..;..;..;..;..;..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
